K EmpiricalCDF TheoreticalCDF
1 0.648281 0.518391
2 0.749564 0.768053
3 0.855512 0.888292
4 0.914798 0.946201
5 0.949745 0.97409
6 0.971364 0.987521
7 0.98627 0.99399
8 0.99436 0.997106
9 0.998019 0.998606
10 0.99953 0.999329
11 0.999866 0.999677
12 0.999933 0.999844
14 0.999966 0.999964
15 1 0.999983
