K EmpiricalCDF TheoreticalCDF
1 0.662895 0.525441
2 0.758656 0.774794
3 0.851488 0.893126
4 0.91569 0.949282
5 0.950992 0.975931
6 0.97394 0.988578
7 0.98697 0.99458
8 0.993778 0.997428
9 0.997385 0.998779
10 0.999008 0.999421
11 0.999639 0.999725
12 0.999865 0.99987
13 0.99991 0.999938
14 0.999955 0.999971
15 1 0.999986
